"n.t","n.per","scenario","sd_group","true","model","number","param","sd","lower","upper","conv","time"
8,30,1,0.223606797749979,0.182321556793955,"4",2,0.313747492553157,0.226372429993878,-0.129934317327659,0.757429302433974,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",3,0.614154364874957,0.261352734358411,0.101912418271408,1.12639631147851,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",4,0.257631911288804,0.283988778014464,-0.298975865633086,0.814239688210694,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",5,1.05176308406919,0.360764636843721,0.344677388959821,1.75884877917855,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",6,0.459508886434657,0.407866589772103,-0.339894940015838,1.25891271288515,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",7,0.875892257643788,0.574822791095228,-0.25073971039565,2.00252422568323,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",0,0.314552944644219,0.206691738892468,-0.0905554194869749,0.719661308775413,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",1,0.269432086840141,0.269230714653331,-0.258250417412368,0.797114591092651,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",2,0.288797935828027,0.282690477672332,-0.265265219182168,0.842861090838223,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",3,0.351253193733827,0.283140337463755,-0.203691670265649,0.906198057733303,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",4,0.271424034841789,0.287259107754098,-0.291593470587352,0.834441540270931,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",5,0.385125060406264,0.285416141495513,-0.174280297531329,0.944530418343858,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",6,0.305018481317166,0.285798170187667,-0.255135639098111,0.865172601732442,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"5",7,0.328488050607384,0.296506067350895,-0.252653162597977,0.909629263812745,1,5.87635334730148
8,30,2,0.223606797749979,0.182321556793955,"1",0,-0.158679784926928,0.20357517587215,-0.55767979778275,0.240320227928893,1,5.87635334730148
8,30,2,0.223606797749979,0.0455803891984886,"1",1,-0.158679784926928,0.20357517587215,-0.55767979778275,0.240320227928893,1,5.87635334730148
8,30,2,0.223606797749979,0.0911607783969773,"1",2,-0.158679784926928,0.20357517587215,-0.55767979778275,0.240320227928893,1,5.87635334730148
8,30,2,0.223606797749979,0.136741167595466,"1",3,-0.158679784926928,0.20357517587215,-0.55767979778275,0.240320227928893,1,5.87635334730148
