"t_max","n_per","scenario","sigma_alpha_sq","sd_expt","true","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,30,22,0.223606797749979,0.1,0.211017915660884,4,7,-0.260213845134346,0.469270335189234,-1.17996680111828,0.659539110849593,0.54815189994375,-1.3345718270813,0.814144136812608,0,-0.260213845134346,-0.260213845134346,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.182321556793955,5,0,0.160471564582471,0.162342513633036,-0.157713915297982,0.478657044462923,0.166937465522757,-0.16671985551253,0.487662984677471,0,0.160471564582471,0.160471564582471,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.114518894717855,5,1,0.153162835847761,0.166358916487926,-0.172894648975682,0.479220320671203,0.184479914786109,-0.208411153004032,0.514736824699553,0,0.153162835847761,0.153162835847761,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.258069323880397,5,2,0.165215980025922,0.166391193311832,-0.160904766209911,0.491336726261754,0.184914915542992,-0.197210594642608,0.527642554694452,0,0.165215980025922,0.165215980025922,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.325178219686346,5,3,0.169394615919393,0.166424527324712,-0.156791463781145,0.495580695619932,0.184630920018527,-0.192475337749416,0.531264569588202,0,0.169394615919393,0.169394615919393,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0419594618550229,5,4,0.154016856843889,0.166453008674063,-0.172225045275607,0.480258758963385,0.222301934524348,-0.281686928517414,0.589720642205191,0,0.154016856843889,0.154016856843889,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.22586548690495,5,5,0.168763130375927,0.166486365092649,-0.157544149122651,0.495070409874505,0.197215043123117,-0.217771251354896,0.555297512106749,0,0.168763130375927,0.168763130375927,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0996415948522268,5,6,0.154873361484812,0.166517435312506,-0.171494814525678,0.481241537495302,0.238140319202659,-0.311873087419272,0.621619810388896,0,0.154873361484812,0.154873361484812,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.211017915660884,5,7,0.157582137017887,0.166549483594286,-0.168848852470659,0.484013126506433,0.237858947757227,-0.308612833986872,0.623777108022646,0,0.157582137017887,0.157582137017887,0.0172881567406537,0.00139568648309442,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.182321556793955,1,0,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,1,1,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,1,2,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.325178219686346,1,3,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0419594618550229,1,4,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.22586548690495,1,5,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0996415948522268,1,6,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.211017915660884,1,7,0.313136921708432,0.176751623911605,-0.0332898953672822,0.659563738784147,0.16528464887207,-0.0108150372781742,0.637088880695039,0,0.313136921708432,0.313136921708432,0.0444643910023593,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.182321556793955,4,0,0.316716863637672,0.267421487331911,-0.207419620225008,0.840853347500353,0.257519333285779,-0.188011754925221,0.821445482200565,0,0.316716863637672,0.316716863637672,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,4,1,0.0488147039956707,0.203823308550873,-0.350671639973836,0.448301047965177,0.204476693963431,-0.351952251850472,0.449581659841813,0,0.0488147039956707,0.0488147039956707,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,4,2,0.728978504478139,0.24782401287807,0.243252364732932,1.21470464422335,0.236700028560097,0.265054973360747,1.19290203559553,0,0.728978504478139,0.728978504478139,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.325178219686346,4,3,0.50294107625262,0.27369648980742,-0.0334941864649579,1.0393763389702,0.258690126575638,-0.00408225499173864,1.00996440749698,0,0.50294107625262,0.50294107625262,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0419594618550229,4,4,-0.0318139963392182,0.303961632812579,-0.62756784933386,0.563939856655424,0.294062143053833,-0.608165205941395,0.544537213262959,0,-0.0318139963392182,-0.0318139963392182,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.22586548690495,4,5,0.381167654815538,0.363798385033184,-0.331864077483338,1.09419938711441,0.332051037238189,-0.269640419200481,1.03197572883156,0,0.381167654815538,0.381167654815538,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0996415948522268,4,6,-0.0528947032722471,0.451889710630517,-0.938582261092288,0.832792854547794,0.449674433766897,-0.934240398223806,0.828450991679312,0,-0.0528947032722471,-0.0528947032722471,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.211017915660884,4,7,0.639824805533203,0.623090151167048,-0.581409449875829,1.86105906094224,0.723081653031615,-0.77738919229045,2.05703880335686,0,0.639824805533203,0.639824805533203,0.0588477237751668,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.182321556793955,5,0,0.319323214775109,0.22177582540472,-0.115349415659785,0.753995845210004,0.175070773140543,-0.0238091953259368,0.662455624876155,0,0.319323214775109,0.319323214775109,0.0522154531878293,0.0500017482956883,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,5,1,0.139252056451541,0.257347947226224,-0.365140651607172,0.643644764510254,0.204252884263843,-0.261076240444018,0.5395803533471,0,0.139252056451541,0.139252056451541,0.0522154531878293,0.0500017482956883,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,5,2,0.571214487338517,0.263873658686673,0.0540316198438234,1.08839735483321,0.215432626648272,0.14897429801304,0.993454676663994,0,0.571214487338517,0.571214487338517,0.0522154531878293,0.0500017482956883,1,18.7344040870667
